"X","ID","sex","B.width","Tusk","days","Age","no.recaptures","tot.dist","max.dist","dist.a.day","rel.bodywidth"
355,1455,"f",11.9,0,3,"juvenil",1,2.61927972435141,2.61927972435141,0.87309324145047,0.220746898262006
357,1486,"f",12.18,0,3,"juvenil",1,2.44744238796712,2.44744238796712,0.815814129322373,0.621210485567957
358,1495,"f",12.73,0,3,"juvenil",1,1.49224087309338,1.49224087309338,0.49741362436446,1.40783538920465
359,1499,"f",12.42,0,11,"juvenil",1,235.690105031677,235.690105031677,21.4263731846979,0.964464988973058
360,1502,"f",11.83,0,1,"intermediate",1,1.11365969203778,1.11365969203778,1.11365969203778,0.120631001435518
361,1516,"f",11.21,0,2,"old",1,3.85592451201633,3.85592451201633,1.92796225600817,-0.766109799027658
362,1518,"f",11.67,0,2,"juvenil",1,2.05787075432224,2.05787075432224,1.02893537716112,-0.108205334167883
364,1555,"f",11.52,0,6,"old",1,4.51224822080645,4.51224822080645,0.752041370134408,-0.322739398796071
367,1614,"f",12.77,0,16,"old",1,12.5520473834581,12.5520473834581,0.784502961466131,1.4650444731055
368,1624,"f",12.43,0,12,"old",1,10.8573593126963,10.8573593126963,0.904779942724692,0.97876725994827
369,1634,"f",11.85,0,9,"juvenil",1,2.63575122169677,2.63575122169677,0.292861246855197,0.149235543385943
370,1635,"f",12.14,0,11,"intermediate",1,2.88543239392072,2.88543239392072,0.262312035810975,0.564001401667108
371,1646,"f",12.7,0,5,"juvenil",1,0.604133617084153,0.604133617084153,0.120826723416831,1.36492857627901
372,1647,"f",12.2,0,9,"juvenil",1,1.68274076486706,1.68274076486706,0.18697119609634,0.649815027518381
373,1649,"f",11.99,0,16,"intermediate",2,3.99565370554706,2.08093658045135,0.249728356596691,0.349467337038919
375,1654,"f",11.32,0,10,"old",1,1.09139007108199,1.09139007108199,0.109139007108199,-0.608784818300321
376,1687,"f",11.83,0,5,"juvenil",1,26.3221174584181,26.3221174584181,5.26442349168362,0.120631001435518
379,1752,"f",11.75,0,1,"intermediate",1,2.00836407419346,2.00836407419346,2.00836407419346,0.00621283363381785
1109,1,"f",11.62,0,0,"juvenil",0,0,0,NA,-0.179716689043946
2100,2,"f",12.15,0,0,"juvenil",0,0,0,NA,0.57830367264232
411,4,"f",11.71,0,0,"juvenil",0,0,0,NA,-0.0509962502670311
511,5,"f",11.98,0,0,"old",0,0,0,NA,0.335165066063707
1010,10,"f",11.81,0,0,"juvenil",0,0,0,NA,0.0920264594850938
1112,11,"f",11.68,0,0,"old",0,0,0,NA,-0.0939030631926703
1210,12,"f",12.62,0,0,"juvenil",0,0,0,NA,1.25051040847731
1614,16,"f",10.89,0,0,"juvenil",0,0,0,NA,-1.22378247023446
2210,22,"f",11.25,0,0,"juvenil",0,0,0,NA,-0.708900715126809
2810,28,"f",11.71,0,0,"juvenil",0,0,0,NA,-0.0509962502670311
3210,32,"f",11.59,0,0,"juvenil",0,0,0,NA,-0.222623501969583
3410,34,"f",10.84,0,0,"old",0,0,0,NA,-1.29529382511052
393,39,"f",12,0,0,"juvenil",0,0,0,NA,0.363769608014131
413,41,"f",11.64,0,0,"juvenil",0,0,0,NA,-0.151112147093519
451,45,"f",11.68,0,0,"old",0,0,0,NA,-0.0939030631926703
5110,51,"f",10.41,0,0,"juvenil",0,0,0,NA,-1.91029147704466
531,53,"f",12.01,0,0,"juvenil",0,0,0,NA,0.378071878989344
541,54,"f",10.23,0,0,"juvenil",0,0,0,NA,-2.16773235459849
584,58,"f",11.73,0,0,"juvenil",0,0,0,NA,-0.0223917083166066
631,63,"f",12.06,0,0,"juvenil",0,0,0,NA,0.449583233865407
662,66,"f",11.73,0,0,"juvenil",0,0,0,NA,-0.0223917083166066
753,75,"f",11.91,0,0,"juvenil",0,0,0,NA,0.235049169237219
774,77,"f",11.71,0,0,"juvenil",0,0,0,NA,-0.0509962502670311
846,84,"f",12.07,0,0,"old",0,0,0,NA,0.46388550484062
895,89,"f",11.41,0,0,"juvenil",0,0,0,NA,-0.480064379523408
1071,107,"f",12.46,0,0,"juvenil",0,0,0,NA,1.02167407287391
1211,121,"f",10.52,0,0,"juvenil",0,0,0,NA,-1.75296649631733
1234,123,"f",11.72,0,0,"juvenil",0,0,0,NA,-0.0366939792918189
1252,125,"f",11.62,0,0,"juvenil",0,0,0,NA,-0.179716689043946
1296,129,"f",11.15,0,0,"old",0,0,0,NA,-0.851923424878934
1321,132,"f",12.75,0,0,"juvenil",0,0,0,NA,1.43643993115507
1331,133,"f",12.53,0,0,"juvenil",0,0,0,NA,1.1217899697004
1357,135,"f",12.45,0,0,"juvenil",0,0,0,NA,1.00737180189869
1424,142,"f",12.07,0,0,"juvenil",0,0,0,NA,0.46388550484062
1495,149,"f",12.2,0,0,"juvenil",0,0,0,NA,0.649815027518381
1502,150,"f",12.41,0,0,"juvenil",0,0,0,NA,0.950162717997846
1518,151,"f",12.76,0,0,"old",0,0,0,NA,1.45074220213028
1541,154,"f",12.25,0,0,"juvenil",0,0,0,NA,0.721326382394445
1553,155,"f",11.01,0,0,"juvenil",0,0,0,NA,-1.05215521853191
1562,156,"f",12.24,0,0,"juvenil",0,0,0,NA,0.707024111419233
1662,166,"f",12.42,0,0,"juvenil",0,0,0,NA,0.964464988973058
17010,170,"f",12.15,0,0,"juvenil",0,0,0,NA,0.57830367264232
17210,172,"f",10.57,0,0,"old",0,0,0,NA,-1.68145514144126
1791,179,"f",11.62,0,0,"juvenil",0,0,0,NA,-0.179716689043946
